kind,subtype,level,main,answers,keyword,prompt,tag_list
sentence_cloze,sc_verb_patterns,B2,His ankle injury * in the race.,"prevented him || from taking part, prevented || his taking part",PREVENTED,Ben didn't take part in the race because he injured his ankle.,"verb_patterns, dependent_prep"
sentence_cloze,sc_verb_patterns,B2,My alarm problem * the first train.,"prevented me || from catching, prevented || my catching",PREVENTED,I didn't catch the first train because my alarm didn't go off.,"verb_patterns, dependent_prep"
sentence_cloze,sc_modals,B2,Tom * before he handed in his project.,ought to have || checked it,OUGHT,It was wrong of Tom to hand in his project without checking it.,"modals, modals_advice"
sentence_cloze,sc_modals,B2,You * before you left the house.,ought to have || locked up,OUGHT,It was wrong of you to leave the house without locking up.,"modals, modals_advice"
sentence_cloze,sc_modals,B2,Emma * everyone my secret.,ought not to || have told,OUGHT,It was wrong of Emma to tell everyone my secret.,"modals, modals_advice"
sentence_cloze,sc_phrasal,B2,The roadworks * the council until September.,were || put off by,OFF,The council postponed the roadworks until September.,phrasal_verbs
sentence_cloze,sc_phrasal,B2,The meeting * the committee until Friday.,was || put off by,OFF,The committee postponed the meeting until Friday.,phrasal_verbs
sentence_cloze,sc_phrasal,B2,Football practice * the coach until the following week.,was || put off by,OFF,The coach postponed football practice until the following week.,phrasal_verbs
sentence_cloze,sc_verb_patterns,B2,It * a birthday present.,"took Mia ages || to choose, took her ages || to choose",TOOK,Mia spent ages choosing a birthday present.,"verb_patterns, using_infinitive, introductory_it"
sentence_cloze,sc_verb_patterns,B2,It * her bedroom.,"took Olivia ages  || to decorate, took her ages || to decorate",TOOK,Olivia spent ages decorating her bedroom.,"verb_patterns, using_infinitive, introductory_it"
sentence_cloze,sc_verb_patterns,B2,It * her suitcase.,"took Emma ages || to pack, took her ages || to pack",TOOK,Emma spent ages packing her suitcase.,"verb_patterns, using_infinitive, introductory_it"
sentence_cloze,sc_passive,B2,Sarah * a carpenter.,had her bookcase || built by,HAD,A carpenter built Sarah's bookcase for her.,"passive, causative"
sentence_cloze,sc_passive,B2,Mr Wilson * a landscape gardener.,had his garden || designed by,HAD,A landscape gardener designed Mr Wilson's garden for him.,"passive, causative"
sentence_cloze,sc_passive,B2,Mrs Brown * a local artist.,had her portrait || painted by,HAD,A local artist painted Mrs Brown's portrait for her.,"passive, causative"
sentence_cloze,sc_reported_speech,B2,Ben asked his father how * was.,"how || high that tree, how || high the tree",HIGH,"""What is the height of that tree?"" Ben asked his father.","reported_speech, reported_question, adj_to_noun"
sentence_cloze,sc_reported_speech,B2,Prompt: Tom asked the engineer how * was.,how || long the bridge,LONG,"""What is the length of the bridge?"" Tom asked the engineer.","reported_speech, reported_question, adj_to_noun"
sentence_cloze,sc_reported_speech,B2,Daniel asked the guide how * was.,how || deep the lake,DEEP,"""What is the depth of the lake?"" Daniel asked the guide.","reported_speech, reported_question, adj_to_noun"
sentence_cloze,sc_modals,B2,It * Sam to solve the puzzle.,"could be difficult || for Sam, could be hard || for Sam",COULD,Sam might not find it easy to solve the puzzle.,"modals, modals_probability"
sentence_cloze,sc_modals,B2,It * us to get tickets for the concert.,"could be difficult || for us, could be hard || for us",COULD,We might not find it easy to get tickets for the concert.,"modals, modals_probability"
sentence_cloze,sc_reported_speech,B2,Lucy's brother * his favourite mug.,accused her of || breaking,ACCUSED,"""Lucy, you've broken my favourite mug!"" said her brother.","reported_speech, reporting_verbs, using_gerund, verb_patterns"
sentence_cloze,sc_reported_speech,B2,Ben's friend * his bike.,accused him of || scratching,ACCUSED,"""Ben, you've scratched my bike!"" said his friend.","reported_speech, reporting_verbs, using_gerund, verb_patterns"
sentence_cloze,sc_reported_speech,B2,Daniel's cousin * his laptop.,accused him of || damaging,ACCUSED,"""Daniel, you've damaged my laptop!"" said his cousin.","reported_speech, reporting_verbs, using_gerund, verb_patterns"
sentence_cloze,sc_conditional,B2,"If Emma tp the teacher, she wouldn't have missed the instructions.","had been paying || attention, had been paying || more attention,",PAYING,Emma missed the teacher's instructions because she wasn't listening carefully.,"conditional, third_conditional, phrasal_verbs"
sentence_cloze,sc_conditional,B2,"If Lucy to where the bus was, she wouldn't have missed her stop.","had been paying || attention, had been paying || more attention,",PAYING,Lucy missed her stop because she wasn't watching where the bus was,"conditional, third_conditional, phrasal_verbs"
sentence_cloze,sc_reported_speech,B2,Ryan promised never * anyone else.,to discuss || the complaint with,DISCUSS,Ryan said that he would never tell anyone else about the complaint.,"reported_speech, reporting_verbs, using_infinitive, verb_patterns"
sentence_cloze,sc_reported_speech,B2,Emma promised never * anyone else.,to discuss || their plans with,DISCUSS,Emma said that she would never talk to anyone else about their plans.,"reported_speech, reporting_verbs, using_infinitive, verb_patterns"
sentence_cloze,sc_linkers,B2,Several flights were delayed * so thick this morning.,because the fog || was,BECAUSE,"As a result of the thick fog this morning, several flights were delayed.",linkers
sentence_cloze,sc_linkers,B2,The race was postponed * so intense.,because the heat || was,BECAUSE,"As a result of the intense heat, the race was postponed.",linkers
sentence_cloze,sc_linkers,B2,The ferry was cancelled * so rough.,because the sea || was,BECAUSE,"As a result of the rough sea, the ferry was cancelled.",linkers
sentence_cloze,sc_tense_change,B2,We * Chris for four weeks.,"have not heard || from, haven't heard || from, have not heard anthing || from, haven't heard anthing || from, ",HEARD,Chris last got in touch with us four weeks ago.,"tense_change, past_tenses"
sentence_cloze,sc_tense_change,B2,We * Jack for six months.,"have not heard || from, haven't heard || from, have not heard anthing || from, haven't heard anthing || from, ",HEARD,Jack last wrote to us six months ago.,"tense_change, past_tenses"
sentence_cloze,sc_tense_change,B2,I * Rachel for a year.,"have not heard || from, haven't heard || from, have not heard anthing || from, haven't heard anthing || from, ",HEARD,Rachel last contacted me a year ago.,"tense_change, past_tenses"
sentence_cloze,sc_verb_patterns,B2,It's * in this area at night.,not advisable || to drive,ADVISABLE,I don't recommend driving in this area at night.,"verb_patterns, using_infinitive, structure_change, verb_to_noun"
sentence_cloze,sc_verb_patterns,B2,It's * in the river after heavy rain.,not advisable || to swim,ADVISABLE,I don't recommend swimming in the river after heavy rain.,"verb_patterns, using_infinitive, structure_change, verb_to_noun"
sentence_cloze,sc_verb_patterns,B2,It's * the tap water here.,not advisable || to drink,ADVISABLE,I don't recommend drinking the tap water here.,"verb_patterns, using_infinitive, structure_change, verb_to_noun"
sentence_cloze,sc_passive,B2,The café where Jack now works * his mother.,was set || up by,SET,Jack's mother started the café where he now works.,"passive, phrasal_verbs"
sentence_cloze,sc_passive,B2,The bakery that Emma now owns * her grandfather.,was set || up by,SET,Emma's grandfather started the bakery that she now owns.,"passive, phrasal_verbs"
sentence_cloze,sc_structure_change,B2,"Over the last decade, there * in the number of people cycling to work.",has been || a rise,RISE,The number of people cycling to work has risen over the last decade.,"structure_change, verb_to_noun,"
sentence_cloze,sc_structure_change,B2,"Since 2020, there * in the number of tourists visiting the island.",has been || a rise,RISE,The number of tourists visiting the island has risen since 2020.,"structure_change, verb_to_noun,"
sentence_cloze,sc_structure_change,B2,"Since the pandemic, there * in the number of people working from home.",has been || a rise,RISE,The number of people working from home has risen since the pandemic.,"structure_change, verb_to_noun,"
sentence_cloze,sc_comparisons,B2,"""I've * meal than this,"" Ben said.",never eaten || a better,NEVER,"""This is the best meal I've ever eaten,"" Ben said.",comparisons
sentence_cloze,sc_comparisons,B2,"""I've * match than this,"" Jack said.",never watched || a better,NEVER,"""This is the best match I've ever watched,"" Jack said.",comparisons
sentence_cloze,sc_comparisons,B2,"""I've * book than this,"" Daniel said.",never read || a better,NEVER,"""This is the best book I've ever read,"" Daniel said.",comparisons
sentence_cloze,sc_quantifier,B2,Hardly * Jack's birthday party.,"anyone || came to, anybody || came to",ANYONE,There were very few people at Jack's birthday party.,"inversion, quantifiers"
sentence_cloze,sc_quantifier,B2,Hardly * the careers talk.,"anyone || came to, anybody || came to",ANYONE,There were very few people at the careers talk.,"inversion, quantifiers"
sentence_cloze,sc_quantifier,B2,Hardly * the village festival this year.,"anyone || came to, anybody || came to",ANYONE,There were very few people at the village festival this year.,"inversion, quantifiers"
sentence_cloze,sc_reported_speech,B2,Chloe asked if I knew * was.,how much || the camping equipment,MUCH,"""Do you know the cost of the camping equipment?"" asked Chloe.","reported_speech, reported_question, structure_change, verb_to_noun"
sentence_cloze,sc_reported_speech,B2,Olivia asked if I knew * were.,how much || the museum passes,MUCH,"""Do you know the cost of the museum passes?"" asked Olivia.","reported_speech, reported_question, structure_change, verb_to_noun"
sentence_cloze,sc_reported_speech,B2,Ben asked if I knew * were.,how much || the tickets,MUCH,"""Do you know the cost of the tickets?"" asked Ben.","reported_speech, reported_question, structure_change, verb_to_noun"
sentence_cloze,sc_modals,B2,Ella wasn't * a good excuse for being late.,able to || come up with,COME,Ella couldn't think of a good excuse for being late.,"modals, modals_ability, phrasal_verbs"
sentence_cloze,sc_modals,B2,We weren't * a solution to the problem.,able to || come up with,COME,We couldn't think of a solution to the problem.,"modals, modals_ability, phrasal_verbs"
sentence_cloze,sc_modals,B2,I wasn't * a reason for cancelling the meeting.,able to || come up with,COME,I couldn't think of a reason for cancelling the meeting.,"modals, modals_ability, phrasal_verbs"
sentence_cloze,sc_structure_change,B2,Ben promised * my idea.,"to give || careful consideration to, to give || careful thought to, to give || consideration to, to give || thought to",GIVE,Ben promised that he would think carefully about my idea.,"structure_change, verb_to_noun, reporting_verbs"
sentence_cloze,sc_structure_change,B2,We promised * the invitation.,"to give || careful consideration to, to give || careful thought to, to give || consideration to, to give || thought to",GIVE,We promised that we would think carefully about the invitation.,"structure_change, verb_to_noun, reporting_verbs"
sentence_cloze,sc_structure_change,B2,I promised * your suggestion.,"to give || careful consideration to, to give || careful thought to, to give || consideration to, to give || thought to",GIVE,I promised that I would think carefully about your suggestion.,"structure_change, verb_to_noun, reporting_verbs"
